ID,Symbol,Direction,SetupType,Leverage,Entry,SL,TP1,Exit,ExitReason,PnL$,PnL%,RR,SweepDist%,KillZone
772,PAXG-USDT,LONG,STANDARD,15,4605.881280,4596.678720,4618.950000,4618.950000,TP1,0.02,0.01,1.42,0.0000,London
773,BTC-USDT,SHORT,STANDARD,15,95513.391000,95704.609000,94828.000000,95253.800000,TIME,0.02,0.01,1.36,0.0000,NY
774,ETH-USDT,SHORT,STANDARD,15,3325.201470,3331.858530,3294.570000,3331.858530,SL,-0.05,-0.03,-1.00,0.0000,NY
775,DOT-USDT,LONG,STANDARD,15,2.140138,2.135862,2.227000,2.171000,TIME,0.20,0.10,7.22,0.0000,NY
776,NEAR-USDT,LONG,STANDARD,15,1.699998,1.696602,1.808700,1.718200,TIME,0.14,0.07,5.36,0.0000,NY
777,ARB-USDT,LONG,STANDARD,15,0.212312,0.211888,0.223800,0.218300,TIME,0.40,0.21,14.12,0.0000,NY
778,SUI-USDT,LONG,STANDARD,15,1.767666,1.764134,1.816600,1.770500,TIME,0.00,0.00,0.80,0.0000,NY
779,PAXG-USDT,LONG,STANDARD,15,4605.881280,4596.678720,4621.190000,4621.190000,TP1,0.03,0.02,1.66,0.0000,NY
780,PAXG-USDT,SHORT,STANDARD,15,4692.852450,4702.247550,4617.480000,4683.250000,TIME,0.01,0.01,1.02,0.0000,NY
781,PAXG-USDT,SHORT,STANDARD,15,4728.227040,4737.692960,4668.890000,4737.692960,SL,-0.05,-0.03,-1.00,0.0000,London
782,ETH-USDT,LONG,STANDARD,15,3087.364280,3081.195720,3234.130000,3081.195720,SL,-0.05,-0.03,-1.00,0.0000,NY
783,APT-USDT,SHORT,STANDARD,15,1.627171,1.630429,1.562800,1.562800,TP1,0.57,0.30,19.76,0.0000,NY
784,PAXG-USDT,SHORT,STANDARD,15,4907.237850,4917.062150,4727.740000,4883.520000,TIME,0.05,0.03,2.41,0.0000,London
785,OP-USDT,SHORT,STANDARD,15,0.314086,0.314714,0.296500,0.314714,SL,-0.05,-0.03,-1.00,0.0000,NY
786,OP-USDT,SHORT,STANDARD,15,0.324975,0.325625,0.294300,0.306600,TIME,0.83,0.43,28.24,0.0000,London
787,BTC-USDT,SHORT,STANDARD,15,90427.681800,90608.718200,87215.300000,89883.000000,TIME,0.07,0.04,3.01,0.0000,NY
788,BTC-USDT,SHORT,STANDARD,15,90209.200500,90389.799500,88468.000000,88776.600000,TIME,0.22,0.11,7.93,0.0000,London
789,ADA-USDT,SHORT,STANDARD,15,0.365804,0.366536,0.355350,0.355350,TP1,0.41,0.21,14.27,0.0000,London
790,DOT-USDT,SHORT,STANDARD,15,1.981017,1.984983,1.903000,1.903000,TP1,0.57,0.30,19.67,0.0000,London
791,APT-USDT,SHORT,STANDARD,15,1.613585,1.616815,1.514900,1.555200,TIME,0.52,0.27,18.07,0.0000,London
